name,en-name,price,category,url
کفش مخصوص پیاده روی زنانه پرفکت استپس مدل سولو,,"244,000",کفش ورزشی زنانه پرفکت استپس,https://www.digikala.com/product/dkp-1731550
کفش روزمره زنانه مدل صبا,,"68,800",,https://www.digikala.com/product/dkp-4254523
کفش پیاده روی زنانه مدل LQ3,,"128,500",,https://www.digikala.com/product/dkp-3767618
کفش مخصوص پیاده روی زنانه مدل پارامیس کد 7699,,"191,000",,https://www.digikala.com/product/dkp-3273407
کفش مخصوص پیاده روی زنانه پرفکت استپس مدل اسکای کد 001,,"149,000",کفش ورزشی زنانه پرفکت استپس,https://www.digikala.com/product/dkp-2174212
کفش روزمره زنانه دلفارد مدل DL5034F500-103,Delphard DL5034F500-103 Casual Shoes For Women,"264,000",کفش روزمره زنانه دلفارد,https://www.digikala.com/product/dkp-1828207
کفش مخصوص دویدن زنانه نیو بالانس مدل MS997XTA,,"1,850,000",کفش ورزشی زنانه نیو بالانس,https://www.digikala.com/product/dkp-4007930
کفش روزمره زنانه شیفر مدل 5181B-101,Shifer 5181B-101 Casual Shoes For Women,"540,000",کفش روزمره زنانه شیفر,https://www.digikala.com/product/dkp-2321130
کفش روزمره زنانه پرفکت استپس مدل پریمو کژوال رنگ مشکی,,"308,000",کفش روزمره زنانه پرفکت استپس,https://www.digikala.com/product/dkp-1693072
کفش پیاده روی مردانه آندر آرمور مدل 3020138-001 RailFit,,"2,960,100",کفش ورزشی مردانه آندر آرمور,https://www.digikala.com/product/dkp-4060791
کفش زنانه ونوس مدل شیما مشکی,,"174,800",,https://www.digikala.com/product/dkp-1423895
کفش ورزشی زنانه مخصوص دویدن مدل Epic React  Flyknit,,"1,070,000",,https://www.digikala.com/product/dkp-622035
کفش روزمره زنانه شیفر مدل 5279A-101,Shifer 5279A-101 Casual Shoes For Women,"348,000",کفش روزمره زنانه شیفر,https://www.digikala.com/product/dkp-2321014
کفش زنانه سینا مدل سما کد 1112,,"164,350",,https://www.digikala.com/product/dkp-1078050
